sample_id,pop,location,reef,num_reads,total_bases,seq_depth,mapping_rate,genome_cov,mapping_depth,net_mapping_depth
ARL_11_S66,ARL,Arlington Reef,Outer,22439072,2256641454,4.64,95.37%,86.30%,4.13057,4.78607
ARL_13_S67,ARL,Arlington Reef,Outer,15951578,1603343021,3.29,86.95%,56.45%,2.29613,4.06732
ARL_14_S68,ARL,Arlington Reef,Outer,18781942,1887629025,3.88,87.97%,58.23%,2.74255,4.70976
ARL_15_S69,ARL,Arlington Reef,Outer,19277960,1936835512,3.98,89.19%,82.52%,3.29972,3.99877
ARL_16_S70,ARL,Arlington Reef,Outer,19115022,1920737036,3.95,93.96%,84.23%,3.43189,4.07453
ARL_17_S71,ARL,Arlington Reef,Outer,16161432,1620575796,3.33,89.71%,80.11%,2.79136,3.48432
ARL_19_S72,ARL,Arlington Reef,Outer,20879550,2098191483,4.31,95.89%,84.85%,3.8524,4.54019
ARL_1_S61,ARL,Arlington Reef,Outer,16284322,1635920404,3.36,87.80%,55.56%,2.37513,4.27473
ARL_20_S73,ARL,Arlington Reef,Outer,13617076,1365941083,2.81,88.15%,52.20%,1.99985,3.8309
ARL_21_S74,ARL,Arlington Reef,Outer,16223398,1629426122,3.35,84.83%,54.58%,2.19529,4.02236
ARL_22_S75,ARL,Arlington Reef,Outer,16361816,1642620864,3.37,88.66%,55.84%,2.41891,4.3317
ARL_23_S76,ARL,Arlington Reef,Outer,17395882,1744913659,3.58,87.23%,55.83%,2.49819,4.4744
ARL_27_S77,ARL,Arlington Reef,Outer,15627468,1571082312,3.23,94.45%,80.86%,2.85863,3.53526
ARL_28_S78,ARL,Arlington Reef,Outer,14077088,1415596776,2.91,92.74%,78.05%,2.53543,3.2486
ARL_29_S79,ARL,Arlington Reef,Outer,20461054,2057052288,4.23,94.94%,85.14%,3.75706,4.41256
ARL_2_S62,ARL,Arlington Reef,Outer,14112956,1418196011,2.91,85.30%,76.14%,2.32203,3.04953
ARL_30_S80,ARL,Arlington Reef,Outer,14615568,1469577518,3.02,90.69%,79.21%,2.56942,3.24397
ARL_3_S63,ARL,Arlington Reef,Outer,15365674,1542132135,3.17,87.32%,54.71%,2.23413,4.08348
ARL_4_S64,ARL,Arlington Reef,Outer,19038616,1910392774,3.92,94.40%,83.60%,3.45569,4.1337
ARL_5_S65,ARL,Arlington Reef,Outer,22963566,2307312709,4.74,91.35%,79.75%,3.6666,4.5979
DI-1-10_S29,DI,Dunk Island,Inner,11407876,1152195476,2.37,95.75%,71.71%,2.12171,2.95863
DI-1-12_S4,DI,Dunk Island,Inner,12489526,1261442126,2.59,96.55%,75.04%,2.3499,3.13133
DI-1-15_S40,DI,Dunk Island,Inner,13517170,1365234170,2.80,95.98%,76.39%,2.53586,3.31959
DI-1-17_S32,DI,Dunk Island,Inner,13062902,1319353102,2.71,92.38%,75.25%,2.34167,3.11204
DI-1-1_S6,DI,Dunk Island,Inner,15271400,1542411400,3.17,95.76%,76.95%,2.80644,3.64723
DI-1-20_S28,DI,Dunk Island,Inner,12681536,1280835136,2.63,95.45%,73.73%,2.35115,3.18905
DI-1-23_S27,DI,Dunk Island,Inner,9697308,979428108,2.01,94.23%,66.02%,1.76506,2.67352
DI-1-25_S40,DI,Dunk Island,Inner,13881412,1402022612,2.88,92.22%,75.36%,2.48364,3.29585
DI-1-27_S18,DI,Dunk Island,Inner,11045228,1115568028,2.29,92.97%,70.23%,1.99683,2.84339
DI-1-2_S3,DI,Dunk Island,Inner,12826598,1295486398,2.66,95.73%,74.89%,2.39466,3.19765
DI-1-32_S34,DI,Dunk Island,Inner,12625190,1275144190,2.62,95.57%,74.78%,2.35141,3.14436
DI-1-3_S11,DI,Dunk Island,Inner,20372002,2057572202,4.23,96.77%,83.38%,3.82885,4.59206
DI-1-4_S2,DI,Dunk Island,Inner,15201706,1535372306,3.15,94.19%,77.01%,2.77186,3.59946
DI-1-6_S20,DI,Dunk Island,Inner,17828078,1800635878,3.70,94.03%,81.02%,3.25035,4.01175
